,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
211,Jeremy Ebobisse,us USA,FW,San Jose,24,1997,34,34,2944,32.7,17,2,15,2,2,0,0,0.52,0.06,0.58,0.46,0.52,15.2,13.6,2.4,16.1,0.46,0.07,0.54,0.42,0.49,Matches,5fa7b2ec
212,Daniel Edelman,us USA,MF,NY Red Bulls,18,2003,16,10,993,11.0,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.2,0.7,0.05,0.02,0.06,0.05,0.06,Matches,a8de0bd5
213,Javier Eduardo López,mx MEX,MFFW,San Jose,27,1994,4,3,234,2.6,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,0.3,0.3,0.1,0.4,0.12,0.06,0.17,0.12,0.17,Matches,f851b52f
214,Earl Edwards Jr.,us USA,GK,New England,30,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,10f6f942
215,Raheem Edwards,ca CAN,DF,LA Galaxy,26,1995,30,27,2275,25.3,1,3,1,0,0,5,0,0.04,0.12,0.16,0.04,0.16,1.3,1.3,2.3,3.5,0.05,0.09,0.14,0.05,0.14,Matches,b828d56a
216,Tom Edwards,eng ENG,DF,NY Red Bulls,23,1999,20,19,1656,18.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.02,0.04,0.06,0.02,0.06,Matches,1b780599
217,Jack Elliott,eng ENG,DF,Philadelphia,26,1995,32,32,2860,31.8,2,1,2,0,0,3,0,0.06,0.03,0.09,0.06,0.09,3.1,3.1,0.9,4.0,0.10,0.03,0.13,0.10,0.13,Matches,041deebd
218,Kalil ElMedkhar,us USA,FWMF,FC Dallas,22,1999,5,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,272c1aaf
219,Franco Escobar,ar ARG,DF,Los Angeles FC,26,1995,19,13,1156,12.8,1,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,0.5,0.5,0.9,1.4,0.04,0.07,0.11,0.04,0.11,Matches,54f33d0e
220,Adam Esparza,us USA,MF,LA Galaxy,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ca135560
221,Cristian Espinoza,ar ARG,FWMF,San Jose,26,1995,34,33,2848,31.6,7,9,2,5,5,4,0,0.22,0.28,0.51,0.06,0.35,7.7,3.8,9.7,13.5,0.24,0.31,0.55,0.12,0.43,Matches,9c794a80
222,Jhon Espinoza,ec ECU,DFFW,Chicago Fire,22,1999,19,3,493,5.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.0,0.10,0.08,0.18,0.10,0.18,Matches,79666d5a
223,Roger Espinoza,hn HON,MF,Sporting KC,35,1986,30,25,1868,20.8,2,1,2,0,0,11,1,0.10,0.05,0.14,0.10,0.14,2.3,2.3,2.0,4.3,0.11,0.09,0.21,0.11,0.21,Matches,60b7c195
224,Lucas Esteves,br BRA,DFMF,Colorado Rapids,21,2000,30,24,2270,25.2,1,2,1,0,0,5,1,0.04,0.08,0.12,0.04,0.12,1.7,1.7,2.5,4.2,0.07,0.10,0.17,0.07,0.17,Matches,c6ec0258
225,Michael Estrada,ec ECU,FW,D.C. United,25,1996,16,11,861,9.6,4,3,3,1,1,1,0,0.42,0.31,0.73,0.31,0.63,3.3,2.5,2.0,4.5,0.35,0.20,0.55,0.27,0.47,Matches,773f5f12
226,Derrick Etienne,ht HAI,FWDF,Columbus Crew,25,1996,33,25,2216,24.6,9,6,9,0,0,6,0,0.37,0.24,0.61,0.37,0.61,7.2,7.2,4.0,11.2,0.29,0.16,0.45,0.29,0.45,Matches,59059f1e
227,Diego Fagúndez,uy URU,FW,Austin,26,1995,34,32,2703,30.0,6,12,6,0,0,4,0,0.20,0.40,0.60,0.20,0.60,3.8,3.8,7.9,11.7,0.13,0.26,0.39,0.13,0.39,Matches,fe81682e
228,Mamadou Fall,sn SEN,DF,Los Angeles FC,19,2002,16,13,1200,13.3,1,1,1,0,0,6,0,0.07,0.07,0.15,0.07,0.15,1.9,1.9,1.1,3.0,0.14,0.08,0.23,0.14,0.23,Matches,805a2a11
229,Marco Farfan,us USA,DF,FC Dallas,23,1998,32,32,2725,30.3,1,3,1,0,0,7,0,0.03,0.10,0.13,0.03,0.13,0.5,0.5,2.3,2.8,0.02,0.08,0.09,0.02,0.09,Matches,cfc68595
230,Andrew Farrell,us USA,DF,New England,29,1992,32,32,2778,30.9,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.01,0.00,0.02,0.01,0.02,Matches,71eda165
231,Mohamed Farsi,ca CAN,DFFW,Columbus Crew,22,1999,7,0,85,0.9,0,1,0,0,0,0,0,0.00,1.06,1.06,0.00,1.06,0.0,0.0,0.2,0.2,0.00,0.17,0.17,0.00,0.17,Matches,81039302
232,Felipe,br BRA,MFFW,Austin,31,1990,28,5,736,8.2,1,2,1,0,0,5,0,0.12,0.24,0.37,0.12,0.37,1.7,1.7,0.4,2.1,0.21,0.05,0.26,0.21,0.26,Matches,2415bd0a
233,Thiago Fernandes,br BRA,FWMF,Houston Dynamo,20,2001,3,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e3550df1
234,Omir Fernandez,us USA,MFFW,NY Red Bulls,22,1999,27,21,1441,16.0,2,3,2,0,0,1,0,0.12,0.19,0.31,0.12,0.31,2.1,2.1,2.7,4.8,0.13,0.17,0.30,0.13,0.30,Matches,622986f0
235,Jesús Ferreira,us USA,FWMF,FC Dallas,21,2000,33,29,2658,29.5,18,6,18,0,0,5,0,0.61,0.20,0.81,0.61,0.81,11.6,11.6,5.0,16.6,0.39,0.17,0.56,0.39,0.56,Matches,f61246d8
236,Sebastián Ferreira,py PAR,FW,Houston Dynamo,23,1998,31,29,2318,25.8,13,3,11,2,3,2,0,0.50,0.12,0.62,0.43,0.54,11.0,8.6,1.7,10.3,0.43,0.06,0.49,0.34,0.40,Matches,5439dba0
237,Stuart Findlay,sct SCO,DF,Philadelphia,26,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.04,0.03,0.06,0.04,0.06,Matches,edffe99a
238,Ethan Finlay,us USA,FW,Austin,31,1990,34,21,1823,20.3,5,5,5,0,0,0,0,0.25,0.25,0.49,0.25,0.49,4.5,4.5,3.1,7.5,0.22,0.15,0.37,0.22,0.37,Matches,c16a59af
239,Oniel Fisher,jm JAM,DF,Minnesota Utd,30,1991,11,6,631,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.02,0.02,0.01,0.02,Matches,ed5fdca6
240,Leon Flach,us USA,MF,Philadelphia,20,2001,34,33,2745,30.5,0,2,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.2,2.0,0.02,0.04,0.06,0.02,0.06,Matches,39859fa1
241,Ashley Fletcher,eng ENG,FW,NY Red Bulls,26,1995,7,3,249,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.4,0.26,0.25,0.51,0.26,0.51,Matches,eeb6551f
242,Kristian Fletcher,us USA,FW,D.C. United,16,2005,2,1,62,0.7,1,0,1,0,0,1,0,1.45,0.00,1.45,1.45,1.45,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,67d3d023
243,Edison Flores,pe PER,MF,D.C. United,27,1994,12,11,828,9.2,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,1.9,1.9,1.0,2.9,0.21,0.11,0.31,0.21,0.31,Matches,ef2c82f8
244,George Fochive,us USA,MF,Portland Timbers,29,1992,2,0,31,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f99000bb
245,Nathan Fogaça,br BRA,FW,Portland Timbers,22,1999,11,4,409,4.5,2,0,2,0,0,1,0,0.44,0.00,0.44,0.44,0.44,2.1,2.1,0.1,2.2,0.47,0.03,0.50,0.47,0.50,Matches,aad135a3
246,Andreu Fontàs,es ESP,DF,Sporting KC,32,1989,28,27,2437,27.1,2,0,2,0,0,6,1,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.4,1.9,0.06,0.01,0.07,0.06,0.07,Matches,0f138d5a
247,Kortne Ford,us USA,DF,Sporting KC,26,1996,14,9,807,9.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matches,552a7707
248,Taxiarchis Fountas,gr GRE,MFFW,D.C. United,26,1995,21,17,1467,16.3,12,1,12,0,1,2,0,0.74,0.06,0.80,0.74,0.80,8.0,7.2,1.9,9.1,0.49,0.12,0.61,0.44,0.56,Matches,2ce71308
249,Franco Fragapane,ar ARG,FW,Minnesota Utd,28,1993,30,26,2019,22.4,7,2,7,0,0,7,1,0.31,0.09,0.40,0.31,0.40,6.1,6.1,3.8,9.9,0.27,0.17,0.44,0.27,0.44,Matches,09538c47
250,Alan Franco,ar ARG,DF,Atlanta Utd,25,1996,31,31,2714,30.2,1,2,1,0,0,3,0,0.03,0.07,0.10,0.03,0.10,1.0,1.0,1.3,2.3,0.03,0.04,0.08,0.03,0.08,Matches,a548281c
251,Alan Franco,ec ECU,MF,Charlotte,23,1998,10,9,782,8.7,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,0.6,1.4,0.09,0.07,0.16,0.09,0.16,Matches,c76b161b
252,Kobe Franklin,ca CAN,DF,Toronto FC,18,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,407325c4
253,Stefan Frei,ch SUI,GK,Seattle,35,1986,27,27,2430,27.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1d0a0f3e
254,Christian Fuchs,at AUT,DF,Charlotte,35,1986,26,22,1943,21.6,3,0,0,3,3,3,2,0.14,0.00,0.14,0.00,0.00,3.2,0.9,0.5,1.4,0.15,0.02,0.17,0.04,0.06,Matches,a67a09fb
255,Ruben Gabrielsen,no NOR,DF,Austin,29,1992,33,31,2737,30.4,2,1,2,0,0,3,0,0.07,0.03,0.10,0.07,0.10,1.1,1.1,0.9,2.0,0.04,0.03,0.06,0.04,0.06,Matches,9e64fc85
256,Ray Gaddis,us USA,DF,FC Cincinnati,32,1990,23,11,1132,12.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.4,1.5,0.01,0.11,0.12,0.01,0.12,Matches,8348b24d
257,McKinze Gaines,us USA,MFFW,Charlotte,23,1998,24,11,1073,11.9,1,4,1,0,0,3,0,0.08,0.34,0.42,0.08,0.42,1.8,1.8,4.0,5.7,0.15,0.33,0.48,0.15,0.48,Matches,8ef72983
258,Jon Gallagher,ie IRL,DF,Austin,25,1996,32,23,2127,23.6,1,4,1,0,0,3,0,0.04,0.17,0.21,0.04,0.21,0.4,0.4,1.9,2.3,0.02,0.08,0.10,0.02,0.10,Matches,9d5afdfb
259,Pedro Gallese,pe PER,GK,Orlando City,31,1990,32,32,2880,32.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b76e1394
260,Christopher Garcia,us USA,MFFW,Real Salt Lake,19,2003,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f6390a6b
261,Mender García,co COL,FW,Minnesota Utd,23,1998,9,6,532,5.9,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,1.5,1.5,0.3,1.8,0.25,0.04,0.30,0.25,0.30,Matches,2375dd75
262,Chase Gasper,us USA,DF,LA Galaxy,26,1996,17,8,840,9.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,7371ec36
263,Ryan Gauld,sct SCO,MFFW,Vancouver,26,1995,28,25,2237,24.9,8,5,6,2,2,6,0,0.32,0.20,0.52,0.24,0.44,7.6,6.1,5.0,11.1,0.31,0.20,0.51,0.24,0.45,Matches,862e93c2
264,Dániel Gazdag,hu HUN,MF,Philadelphia,25,1996,34,34,2929,32.5,22,6,15,7,7,7,0,0.68,0.18,0.86,0.46,0.65,16.2,10.7,5.2,15.8,0.50,0.16,0.66,0.33,0.49,Matches,527d0e31
265,Kieran Gibbs,eng ENG,DF,Inter Miami,32,1989,15,8,635,7.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.2,0.13,0.03,0.16,0.13,0.16,Matches,46ee5234
266,Carles Gil,es ESP,MF,New England,29,1992,33,32,2911,32.3,7,9,3,4,4,3,0,0.22,0.28,0.49,0.09,0.37,8.7,5.5,10.8,16.3,0.27,0.33,0.60,0.17,0.50,Matches,11c30a46
267,Nacho Gil,es ESP,FWMF,New England,26,1995,4,2,201,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.5,1.6,0.04,0.68,0.72,0.04,0.72,Matches,87ec1a2a
268,Gastón Giménez,py PAR,MF,Chicago Fire,30,1991,22,20,1695,18.8,0,2,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,1.2,1.2,1.6,2.8,0.06,0.09,0.15,0.06,0.15,Matches,ab66cc31
269,Francisco Ginella,uy URU,MF,Los Angeles FC,23,1999,15,5,445,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.04,0.05,0.09,0.04,0.09,Matches,5a28a782
270,Nicholas Gioacchini,us USA,FWMF,Orlando City,21,2000,6,2,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.17,0.05,0.22,0.17,0.22,Matches,79ab7593
271,Justen Glad,us USA,DF,Real Salt Lake,24,1997,26,26,2303,25.6,3,0,3,0,0,6,0,0.12,0.00,0.12,0.12,0.12,3.1,3.1,0.4,3.5,0.12,0.01,0.14,0.12,0.14,Matches,5b768b0f
272,Jakob Glesnes,no NOR,DF,Philadelphia,27,1994,34,34,3060,34.0,0,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.6,2.3,0.02,0.05,0.07,0.02,0.07,Matches,ac65aef3
273,Chris Gloster,us USA,DF,NYCFC,21,2000,11,6,481,5.3,1,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,0.2,0.2,1.0,1.3,0.05,0.19,0.24,0.05,0.24,Matches,01cd3c12
274,Marcus Godinho,ca CAN,DF,Vancouver,24,1997,23,12,1019,11.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.7,0.03,0.03,0.06,0.03,0.06,Matches,27854bf6
275,Aníbal Godoy,pa PAN,MF,Nashville,31,1990,19,11,945,10.5,1,2,1,0,0,5,0,0.10,0.19,0.29,0.10,0.29,0.8,0.8,0.4,1.2,0.07,0.04,0.11,0.07,0.11,Matches,2d496ca3
276,Erik Godoy,ar ARG,DF,Vancouver,28,1993,6,5,454,5.0,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches,e8b80334
277,Eulânio Ângelo Chipela Gomes,gw GNB,DF,FC Dallas,27,1994,27,11,1191,13.2,0,2,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,1.6,2.1,0.04,0.12,0.16,0.04,0.16,Matches,d9b9b71a
278,Yeimar Gómez Andrade,co COL,DF,Seattle,29,1992,28,26,2314,25.7,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.2,1.6,0.06,0.01,0.06,0.06,0.06,Matches,e43c8d72
279,Jonathan González,mx MEX,MFFW,Minnesota Utd,22,1999,8,1,195,2.2,1,0,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,0.4,0.4,0.1,0.5,0.18,0.04,0.21,0.18,0.21,Matches,a8785279
280,Omar Gonzalez,us USA,DF,New England,33,1988,17,8,762,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.06,0.00,0.06,0.06,0.06,Matches,0d2fe665
281,Samuel Grandsir,fr FRA,FWMF,LA Galaxy,25,1996,33,19,1611,17.9,3,5,3,0,0,4,0,0.17,0.28,0.45,0.17,0.45,3.5,3.5,3.9,7.4,0.20,0.22,0.41,0.20,0.41,Matches,d2448564
282,Tayvon Gray,us USA,DF,NYCFC,19,2002,27,22,1879,20.9,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,1.3,1.9,0.03,0.06,0.09,0.03,0.09,Matches,c839e1b2
283,Gregore,br BRA,MF,Inter Miami,27,1994,30,30,2700,30.0,0,2,0,0,0,12,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.03,0.04,0.07,0.03,0.07,Matches,49815f34
284,Ján Greguš,sk SVK,MF,San Jose,31,1991,27,17,1680,18.7,0,5,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,0.9,0.9,2.4,3.2,0.05,0.13,0.17,0.05,0.17,Matches,7d974435
285,Julian Gressel,de GER,DF,D.C. United,28,1993,17,16,1379,15.3,0,4,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,2.1,2.1,3.2,5.3,0.13,0.21,0.35,0.13,0.35,Matches,acd47bc0
286,Julian Gressel,de GER,MFDF,Vancouver,28,1993,13,11,972,10.8,2,2,2,0,0,1,0,0.19,0.19,0.37,0.19,0.37,1.3,1.3,1.8,3.1,0.12,0.16,0.29,0.12,0.29,Matches,acd47bc0
287,Raúl Gudiño,mx MEX,GK,Atlanta Utd,25,1996,6,6,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,2f061b36
288,Sami Guediri,us USA,DF,D.C. United,24,1997,13,10,803,8.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.06,0.08,0.01,0.08,Matches,e3dc71a7
289,Brian Gutiérrez,us USA,FWMF,Chicago Fire,18,2003,33,20,1637,18.2,2,5,2,0,0,4,1,0.11,0.27,0.38,0.11,0.38,2.9,2.9,2.7,5.6,0.16,0.15,0.31,0.16,0.31,Matches,d88f31db
290,Cristián Gutiérrez,cl CHI,DF,Vancouver,24,1997,11,6,616,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,1.1,1.3,0.03,0.16,0.19,0.03,0.19,Matches,6e56a4f2
291,Diego Gutierrez,us USA,FW,Portland Timbers,22,1999,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4903a306
292,Felipe Gutiérrez,cl CHI,MF,Colorado Rapids,31,1990,12,10,840,9.3,0,2,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,0.8,0.8,1.3,2.1,0.09,0.14,0.23,0.09,0.23,Matches,80ae314a
293,Andrew Gutman,us USA,DF,Atlanta Utd,25,1996,25,22,1962,21.8,4,1,4,0,0,5,0,0.18,0.05,0.23,0.18,0.23,4.4,4.4,1.5,5.9,0.20,0.07,0.27,0.20,0.27,Matches,b7a23251
294,Brad Guzan,us USA,GK,Atlanta Utd,37,1984,7,7,612,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d899e3bf
295,Justin Haak,us USA,MFDF,NYCFC,20,2001,15,7,764,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.05,0.05,0.00,0.05,Matches,c644e140
296,Luke Haakenson,us USA,MFFW,Nashville,24,1997,25,5,597,6.6,0,3,0,0,0,3,0,0.00,0.45,0.45,0.00,0.45,1.0,1.0,1.4,2.4,0.15,0.22,0.36,0.15,0.36,Matches,77d28e45
297,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,26,1995,22,20,1810,20.1,2,0,2,0,0,12,2,0.10,0.00,0.10,0.10,0.10,1.6,1.6,1.2,2.8,0.08,0.06,0.14,0.08,0.14,Matches,582952f2
298,Nick Hagglund,us USA,DF,FC Cincinnati,29,1992,32,31,2715,30.2,1,1,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,1.6,1.6,1.3,2.9,0.05,0.04,0.10,0.05,0.10,Matches,39632554
299,Marlon Hairston,us USA,DF,Columbus Crew,27,1994,3,1,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches,1d531c57
300,Siad Haji,so SOM,DFFW,San Jose,22,1999,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.52,0.52,0.00,0.52,Matches,9212f1cb
301,Michael Halliday,us USA,DFMF,Orlando City,19,2003,6,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6ad5f50e
302,Ahmed Hamdi,eg EGY,MF,CF Montréal,23,1998,9,3,332,3.7,0,1,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,0.4,0.4,0.3,0.7,0.11,0.09,0.19,0.11,0.19,Matches,fc7c8d3d
303,Bill Hamid,us USA,GK,D.C. United,31,1990,10,10,858,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,012fc030
304,Niko Hansen,dk DEN,FWMF,Minnesota Utd,27,1994,5,0,100,1.1,0,1,0,0,0,0,0,0.00,0.90,0.90,0.00,0.90,0.1,0.1,0.2,0.3,0.12,0.16,0.28,0.12,0.28,Matches,9bebd450
305,Cameron Harper,us USA,DFFW,NY Red Bulls,20,2001,17,6,765,8.5,2,2,2,0,0,5,0,0.24,0.24,0.47,0.24,0.47,1.1,1.1,1.2,2.3,0.13,0.14,0.27,0.13,0.27,Matches,4a78c769
306,Nathan Harriel,us USA,DF,Philadelphia,20,2001,25,20,1768,19.6,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,1.7,1.7,0.5,2.2,0.09,0.02,0.11,0.09,0.11,Matches,b3edbeff
307,Calvin Harris,eng ENG,DFFW,FC Cincinnati,21,2000,8,2,179,2.0,1,1,1,0,0,1,0,0.50,0.50,1.01,0.50,1.01,1.6,1.6,0.8,2.3,0.78,0.38,1.16,0.78,1.16,Matches,07b0aeef
308,Thomas Hasal,ca CAN,GK,Vancouver,22,1999,17,17,1509,16.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,86bac87b
309,Jacori Hayes,us USA,MF,Minnesota Utd,26,1995,8,0,75,0.8,0,1,0,0,0,1,0,0.00,1.20,1.20,0.00,1.20,0.1,0.1,0.0,0.1,0.13,0.03,0.16,0.13,0.16,Matches,d2173b7b
310,Héber,br BRA,FW,NYCFC,30,1991,29,9,1012,11.2,8,0,7,1,1,0,0,0.71,0.00,0.71,0.62,0.62,5.9,5.1,1.0,6.2,0.52,0.09,0.61,0.45,0.55,Matches,d552c4a1
311,Matt Hedges,us USA,DF,FC Dallas,31,1990,28,26,2226,24.7,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,1.7,1.7,0.6,2.3,0.07,0.02,0.09,0.07,0.09,Matches,5e2a4d0e
312,Chris Hegardt,us USA,MFFW,Charlotte,20,2002,3,0,19,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,1.96,1.96,0.00,1.96,Matches,99a6142d
313,Doneil Henry,ca CAN,DF,Toronto FC,28,1993,6,0,142,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,22636117
314,Doneil Henry,ca CAN,DF,Los Angeles FC,28,1993,5,2,134,1.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,22636117
315,Fabian Herbers,de GER,FWMF,Chicago Fire,28,1993,25,10,1076,12.0,1,1,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,1.3,1.3,1.3,2.7,0.11,0.11,0.22,0.11,0.22,Matches,5cbf5ccd
316,Felipe Hernandez,us USA,MF,Sporting KC,23,1998,34,16,1781,19.8,2,3,2,0,0,3,0,0.10,0.15,0.25,0.10,0.25,1.9,1.9,2.9,4.8,0.10,0.15,0.24,0.10,0.24,Matches,31a4d0b8
317,Javier Hernández,mx MEX,FW,LA Galaxy,33,1988,32,31,2583,28.7,18,2,15,3,6,8,0,0.63,0.07,0.70,0.52,0.59,18.3,13.6,2.4,16.0,0.64,0.09,0.72,0.47,0.56,Matches,189cee7b
318,Ronald Hernández,ve VEN,DF,Atlanta Utd,24,1997,13,11,761,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches,de907bab
319,Aaron Herrera,us USA,DF,Real Salt Lake,24,1997,27,25,2268,25.2,0,2,0,0,0,6,1,0.00,0.08,0.08,0.00,0.08,0.6,0.6,3.0,3.6,0.02,0.12,0.14,0.02,0.14,Matches,d86e3070
320,Héctor Herrera,mx MEX,MF,Houston Dynamo,31,1990,10,6,685,7.6,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,0.5,1.0,0.07,0.07,0.14,0.07,0.14,Matches,a8542814
321,Gonzalo Higuaín,ar ARG,FW,Inter Miami,34,1987,28,20,1749,19.4,16,3,11,5,5,2,0,0.82,0.15,0.98,0.57,0.72,9.4,5.5,3.6,9.1,0.49,0.18,0.67,0.28,0.47,Matches,8a08491a
