,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
34,Sebastian Anderson,us USA,DFMF,Colorado Rapids,19,2002,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3a9911ce
35,José Andrés Martínez,ve VEN,MF,Philadelphia,27,1994,30,29,2518,28.0,0,2,0,0,0,11,1,0.00,0.07,0.07,0.00,0.07,0.9,0.9,0.7,1.6,0.03,0.03,0.06,0.03,0.06,Matches,c8364e8e
36,Iván Angulo,co COL,FW,Orlando City,22,1999,9,5,548,6.1,0,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.9,0.8,0.8,1.6,0.15,0.13,0.27,0.13,0.26,Matches,55a5d959
37,Jalil Anibaba,us USA,DF,Columbus Crew,33,1988,5,3,226,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,e44593b0
38,Themi Antonoglou,ca CAN,DF,Toronto FC,20,2001,2,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.08,0.05,0.14,0.08,0.14,Matches,b137ee51
39,Brian Anunga,cm CMR,MF,Nashville,25,1996,24,9,842,9.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,17b28ec7
40,Cristian Arango,co COL,FW,Los Angeles FC,26,1995,34,28,2341,26.0,16,4,15,1,2,5,0,0.62,0.15,0.77,0.58,0.73,16.3,14.7,4.0,18.7,0.63,0.15,0.78,0.57,0.72,Matches,fea9401e
41,César Araujo,uy URU,MF,Orlando City,20,2001,31,28,2458,27.3,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.3,0.03,0.02,0.05,0.03,0.05,Matches,3ed214ff
42,Julian Araujo,mx MEX,DF,LA Galaxy,20,2001,33,30,2741,30.5,0,5,0,0,0,6,0,0.00,0.16,0.16,0.00,0.16,1.5,1.5,4.1,5.6,0.05,0.14,0.18,0.05,0.18,Matches,8f4541c2
43,Luiz Araújo,br BRA,FWMF,Atlanta Utd,25,1996,28,26,2189,24.3,4,5,4,0,1,7,0,0.16,0.21,0.37,0.16,0.37,9.0,8.2,5.0,13.2,0.37,0.21,0.58,0.34,0.54,Matches,fa18c72e
44,Daniel Armando Ríos,mx MEX,FW,Charlotte,26,1995,27,15,1417,15.7,7,1,6,1,1,1,0,0.44,0.06,0.51,0.38,0.44,6.6,5.8,1.7,7.5,0.42,0.11,0.53,0.37,0.48,Matches,078b2c07
45,Adam Armour,us USA,MF,Charlotte,19,2002,5,0,85,0.9,1,0,1,0,0,1,0,1.06,0.00,1.06,1.06,1.06,0.2,0.2,0.2,0.4,0.17,0.24,0.41,0.17,0.41,Matches,546c2c25
46,Xavier Arreaga,ec ECU,DF,Seattle,27,1994,27,26,2166,24.1,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.9,2.0,0.05,0.04,0.08,0.05,0.08,Matches,7f2b7640
47,Kervin Arriaga,hn HON,MF,Minnesota Utd,24,1998,24,22,1892,21.0,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,1.2,1.2,0.4,1.6,0.06,0.02,0.08,0.06,0.08,Matches,4f8a9f70
48,Paul Arriola,us USA,FW,FC Dallas,26,1995,32,29,2562,28.5,10,5,10,0,0,4,1,0.35,0.18,0.53,0.35,0.53,6.7,6.7,6.8,13.5,0.24,0.24,0.47,0.24,0.47,Matches,1bb2acce
49,Artur,br BRA,MF,Columbus Crew,25,1996,24,20,1642,18.2,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.9,1.8,0.05,0.05,0.10,0.05,0.10,Matches,ea6803c7
50,Dairon Asprilla,co COL,FWMF,Portland Timbers,29,1992,29,19,1847,20.5,10,2,6,4,4,8,0,0.49,0.10,0.58,0.29,0.39,7.8,4.6,3.2,7.9,0.38,0.16,0.54,0.23,0.38,Matches,218d336c
51,Isaac Atanga,gh GHA,DF,FC Cincinnati,21,2000,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.46,0.46,0.00,0.46,Matches,ff0f2a53
52,Joshua Atencio,us USA,MF,Seattle,20,2002,18,8,725,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.03,0.01,0.05,0.03,0.05,Matches,1f084637
53,Roberto Avila,us USA,FWMF,Houston Dynamo,21,2000,8,2,159,1.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches,bb666b57
54,David Ayala,ar ARG,MF,Portland Timbers,19,2002,21,8,741,8.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.04,0.07,0.11,0.04,0.11,Matches,06dafc0e
55,Edison Azcona,do DOM,MF,Inter Miami,18,2003,1,0,18,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.74,0.74,0.00,0.74,Matches,05f54837
56,Dominique Badji,sn SEN,FW,FC Cincinnati,29,1992,24,13,1099,12.2,0,2,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,3.3,3.3,1.5,4.9,0.27,0.13,0.40,0.27,0.40,Matches,758ac389
57,Zico Bailey,us USA,DFMF,FC Cincinnati,21,2000,3,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,aa9e1161
58,Corey Baird,us USA,FW,Houston Dynamo,26,1996,23,17,1345,14.9,2,4,2,0,0,1,0,0.13,0.27,0.40,0.13,0.40,1.7,1.7,3.3,5.0,0.12,0.22,0.34,0.12,0.34,Matches,2d0d1442
59,Esmir Bajraktarevic,,MFFW,New England,,,3,1,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,dff24174
60,Reed Baker-Whiting,us USA,MF,Seattle,16,2005,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.60,0.09,0.69,0.60,0.69,Matches,816d7aec
61,Michael Baldisimo,ca CAN,MF,Vancouver,21,2000,13,4,455,5.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.03,0.05,0.09,0.03,0.09,Matches,894b41c5
62,Gareth Bale,wls WAL,FW,Los Angeles FC,32,1989,12,2,355,3.9,2,0,2,0,0,0,0,0.51,0.00,0.51,0.51,0.51,2.0,2.0,0.6,2.6,0.50,0.15,0.65,0.50,0.65,Matches,a58bb1e1
63,Tom Barlow,us USA,FW,NY Red Bulls,26,1995,33,8,1097,12.2,4,0,3,1,1,2,0,0.33,0.00,0.33,0.25,0.25,4.7,3.9,0.4,4.3,0.39,0.03,0.42,0.32,0.35,Matches,da4821de
64,Álvaro Barreal,ar ARG,DFMF,FC Cincinnati,21,2000,32,25,2199,24.4,5,5,5,0,0,5,0,0.20,0.20,0.41,0.20,0.41,3.0,3.0,4.5,7.5,0.12,0.18,0.31,0.12,0.31,Matches,ffca53e1
65,Michael Barrios,co COL,FWMF,Colorado Rapids,30,1991,34,19,1906,21.2,2,6,2,0,0,5,0,0.09,0.28,0.38,0.09,0.38,4.3,4.3,5.9,10.2,0.21,0.28,0.48,0.21,0.48,Matches,df782c79
66,Ethan Bartlow,us USA,DFMF,Houston Dynamo,21,2000,15,9,906,10.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches,552898bd
67,Zorhan Bassong,ca CAN,DF,CF Montréal,22,1999,10,1,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.05,0.15,0.20,0.05,0.20,Matches,6297d826
68,Tanner Beason,us USA,DF,San Jose,24,1997,28,25,2244,24.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.9,0.03,0.01,0.03,0.03,0.03,Matches,3f1b018e
69,Simon Becher,us USA,FW,Vancouver,22,1999,1,0,9,0.1,1,0,1,0,0,0,0,10.00,0.00,10.00,10.00,10.00,0.3,0.3,0.0,0.3,2.69,0.00,2.69,2.69,2.69,Matches,bc921182
70,Alejandro Bedoya,us USA,MF,Philadelphia,34,1987,30,27,2422,26.9,6,6,6,0,0,8,0,0.22,0.22,0.45,0.22,0.45,3.3,3.3,4.0,7.3,0.12,0.15,0.27,0.12,0.27,Matches,9a6f8dfd
71,Steven Beitashour,ir IRN,DFMF,Colorado Rapids,34,1987,19,14,1313,14.6,0,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.7,0.9,0.01,0.05,0.06,0.01,0.06,Matches,64f1680a
72,Jon Bell,us USA,DF,New England,24,1997,15,10,1053,11.7,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches,658a3134
73,Ben Bender,us USA,MF,Charlotte,20,2001,28,19,1645,18.3,3,6,3,0,0,1,0,0.16,0.33,0.49,0.16,0.49,2.7,2.7,3.3,6.1,0.15,0.18,0.33,0.15,0.33,Matches,bc307884
74,Alan Benítez,py PAR,DF,Minnesota Utd,28,1994,11,6,570,6.3,1,2,1,0,0,2,0,0.16,0.32,0.47,0.16,0.47,0.3,0.3,1.0,1.2,0.04,0.15,0.19,0.04,0.19,Matches,5c7c798b
75,Julio Benitez,us USA,MF,Real Salt Lake,16,2005,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,625ed11d
